channel,roas,budget_share_pct,budget_rub,expected_posts,expected_reach,expected_orders,expected_revenue_rub
TikTok,4.3255384615384616,28.0,140000.0,17.9,393800.0,503.0,603600.0
VK_Клипы,3.4560000000000013,22.4,111900.0,25.4,406400.0,322.0,386400.0
YouTube_Shorts,2.3261538461538462,15.1,75300.0,8.3,166000.0,146.0,175200.0
Instagram_Reels,1.9781052631578948,12.8,64000.0,6.7,100500.0,105.0,126000.0
VK_Лента,1.719692307692308,11.1,55700.0,10.7,192600.0,80.0,96000.0
Influencer_микро_(10-50K),1.639264864864865,10.6,53100.0,2.9,52200.0,73.0,87600.0
